INSERT dbo.HOCSINH (MaHS, HoTenHS, NgaySinh, DiaChi, GioiTinh, MatKhau, Email, SDT)
VALUES
('HS001', N'Vũ Thái An', '2005-10-24', N'Ninh Bình', N'Nam', 'vuthaian', 'VuThaiAn@gmail.com', '0391851904'),
('HS002', N'Nguyễn Tuấn Anh', '2005-11-24', N'Thái Bình', N'Nam', 'nguyentuananh', 'NguyenTuanAnh@gmail.com', '0769416883'),
('HS003', N'Trần Thị Vân Anh', '2005-09-11', N'Hải Dương', N'Nữ', 'tranthivananh', 'TranThiVanAnh@gmail.com', '0661220007'),
('HS004', N'Trần Doãn Tuấn', '2005-07-20', N'Hưng Yên', N'Nam', 'trandoantuan', 'TranDoanTuan@gmail.com', '0325274119'),
('HS005', N'Phạm Văn Phú', '2005-11-11', N'Tuyên Quang', N'Nam', 'phamvanphu', 'PhamVanPhu@gmail.com', '0676944407'),
('HS006', N'Nguyễn Tùng Lâm', '2005-11-24', N'Hải Phòng', N'Nam', 'nguyentunglam', 'NguyenTungLam@gmail.com', '0609513709'),
('HS007', N'Nguyễn Đức Toàn', '2005-03-24', N'Bắc Ninh', N'Nam', 'nguyenductoan', 'NguyenDucToan@gmail.com', '0616085468'),
('HS008', N'Phạm Đăng Quang', '2005-11-20', N'Thái Bình', N'Nam', 'phamdangquang', 'PhamDangQuang@gmail.com', '0848430710'),
('HS009', N'Đỗ Thành Long', '2005-11-28', N'Nam Định', N'Nam', 'dothanhlong', 'DoThanhLong@gmail.com', '0661771349'),
('HS010', N'Nguyễn Văn Đức', '2005-10-25', N'Hà Nội', N'Nam', 'nguyenvanduc', 'NguyenVanDuc@gmail.com', '0881257440'),
('HS011', N'Nguyễn Thu Phương', '2005-12-20', N'Hưng Yên', N'Nữ', 'nguyenthuphuong', 'NguyenThuPhuong@gmail.com', '0269158656'),
('HS012', N'Bùi Thị Thoa', '2005-04-24', N'Lai Châu', N'Nữ', 'buithithoa', 'BuiThiThoa@gmail.com', '0817979203'),
('HS013', N'Chử Thành Hai', '2005-06-08', N'Hà Nam', N'Nam', 'chuthanhhai', 'ChuThanhHai@gmail.com', '0783464558'),
('HS014', N'Dương Phước Lộc', '2005-11-24', N'Hải Dương', N'Nam', 'duongphuocloc', 'DuongPhuocLoc@gmail.com', '0768108955'),
('HS015', N'Triệu Thúy Hằng', '2005-04-04', N'Hưng Yên', N'Nữ', 'trieuthuyhang', 'TrieuThuyHang@gmail.com', '0141312552'),
('HS016', N'Lê Minh Giang', '2005-03-20', N'Nam Định', N'Nam', 'leminhgiang', 'LeMinhGiang@gmail.com', '0290194365'),
('HS017', N'Đinh Xuân Tùng', '2005-10-20', N'Hà Nội', N'Nam', 'dinhxuantung', 'DinhXuanTung@gmail.com', '0679469088'),
('HS018', N'Nguyễn Thị Vân', '2005-12-22', N'Thái Bình', N'Nữ', 'nguyenthivan', 'NguyenThiVan@gmail.com', '0761891306'),
('HS019', N'Đỗ Thị Diệp', '2005-05-05', N'Nghệ An', N'Nữ', 'dothidiep', 'DoThiDiep@gmail.com', '0247191126'),
('HS020', N'Đỗ Ngọc Long', '2005-11-24', N'Nghệ An', N'Nam', 'dongoclong', 'DoNgocLong@gmail.com', '0757383238'),
('HS021', N'Bùi Nguyễn Dũng', '2005-01-25', N'Hải Phòng', N'Nam', 'buinguyendung', 'BuiNguyenDung@gmail.com', '0668132379'),
('HS022', N'Trần Thanh Phương', '2005-10-24', N'Hải Phòng', N'Nam', 'tranthanhphuong', 'TranThanhPhuong@gmail.com', '0139978802'),
('HS023', N'Đỗ Minh Hiếu', '2005-08-09', N'Hải Dương', N'Nam', 'dominhhieu', 'DoMinhHieu@gmail.com', '0847733232'),
('HS024', N'Bùi Huy Hoàng', '2005-12-12', N'Nghệ An', N'Nam', 'buihuyhoang', 'BuiHuyHoang@gmail.com', '0147765274'),
('HS025', N'Trịnh Thị Bảo Anh', '2005-02-03', N'Hải Phòng', N'Nữ', 'trinhthibaoanh', 'TrinhThiBaoAnh@gmail.com', '0800581298'),
('HS026', N'Đặng Thị Thương', '2005-03-20', N'Hải Dương', N'Nữ', 'dangthithuong', 'DangThiThuong@gmail.com', '0677848048'),
('HS027', N'Thạch Thị Nương', '2005-07-15', N'Hà Tĩnh', N'Nữ', 'thachthinuong', 'ThachThiNuong@gmail.com', '0083490923'),
('HS028', N'Võ Minh Khải', '2005-01-03', N'An Giang', N'Nam', 'vominhkhai', 'VoMinhKhai@gmail.com', '0147360409'),
('HS029', N'Hoàng Trần Trung Kiên', '2005-06-12', N'Quảng Nam', N'Nam', 'hoangtrantrungkien', 'HoangTranTrungKien@gmail.com', '0136653455'),
('HS030', N'Vũ Thị Ngọc Ánh', '2005-10-05', N'Nghệ An', N'Nữ', 'vuthingocanh', 'VuThiNgocAnh@gmail.com', '0429961729'),
('HS031', N'Nguyễn Vĩnh Nhật', '2005-07-07', N'Thanh Hóa', N'Nam', 'nguyenvinhnhat', 'NguyenVinhNhat@gmail.com', '0031055805'),
('HS032', N'Phan Xuân Hoàng', '2005-09-04', N'Hải Dương', N'Nam', 'phanxuanhoang', 'PhanXuanHoang@gmail.com', '0121744881'),
('HS033', N'Võ Văn Hải', '2005-11-13', N'Hải Phòng', N'Nam', 'vovanhai', 'VoVanHai@gmail.com', '0242003440'),
('HS034', N'Đặng Trọng Tiến', '2005-05-21', N'Nghệ An', N'Nam', 'dangtrongtien', 'DangTrongTien@gmail.com', '0327564037'),
('HS035', N'Trần Bảo Trí', '2005-07-01', N'Nghệ An', N'Nam', 'tranbaotri', 'TranBaoTri@gmail.com', '0707075732'),
('HS036', N'Nguyễn Huy Tuân', '2005-08-02', N'Hải Dương', N'Nam', 'nguyenhuytuan', 'NguyenHuyTuan@gmail.com', '0477517047'),
('HS037', N'Trần Quang Đông', '2005-02-24', N'Hà Nội', N'Nam', 'tranquangdong', 'TranQuangDong@gmail.com', '0602860557'),
('HS038', N'Hồ Anh Dũng', '2005-04-30', N'Nghệ An', N'Nam', 'hoanhdung', 'HoAnhDung@gmail.com', '0856660608'),
('HS039', N'Thái Doãn Sang', '2005-04-25', N'Nam Định', N'Nam', 'thaidoansang', 'ThaiDoanSang@gmail.com', '0316727007'),
('HS040', N'Nguyễn Hữu Nhân', '2005-06-21', N'Hải Phòng', N'Nam', 'nguyenhuunhan', 'NguyenHuuNhan@gmail.com', '0271952643'),
('HS041', N'Đinh Viết Đức', '2005-11-24', N'Hà Tĩnh', N'Nam', 'dinhvietduc', 'DinhVietDuc@gmail.com', '0494752787'),
('HS042', N'Nguyễn Ngọc Hưng', '2005-12-12', N'Bắc Giang', N'Nam', 'nguyenngochung', 'NguyenNgocHung@gmail.com', '0670680963'),
('HS043', N'Lê Ngọc Long', '2005-03-24', N'Nam Định', N'Nam', 'lengoclong', 'LeNgocLong@gmail.com', '0187586237'),
('HS044', N'Nguyễn Thị Liên', '2005-03-29', N'Kiên Giang', N'Nữ', 'nguyenthilien', 'NguyenThiLien@gmail.com', '0690302621'),
('HS045', N'Nguyễn Văn Văn', '2005-12-04', N'Hải Dương', N'Nam', 'nguyenvanvan', 'NguyenVanVan@gmail.com', '0366304932'),
('HS046', N'Lê Thị Minh Châu', '2005-07-24', N'Thái Nguyên', N'Nữ', 'lethiminhchau', 'LeThiMinhChau@gmail.com', '0758098845'),
('HS047', N'Đinh Công Hiển', '2005-04-21', N'Hà Nội', N'Nam', 'dinhconghien', 'DinhCongHien@gmail.com', '0680852509'),
('HS048', N'Bùi Thị Phương Thảo', '2005-04-27', N'Hà Tĩnh', N'Nữ', 'buithiphuongthao', 'BuiThiPhuongThao@gmail.com', '0726796960'),
('HS049', N'Nguyễn Thị Hằng', '2005-08-24', N'Vĩnh Phúc', N'Nữ', 'nguyenthihang', 'NguyenThiHang@gmail.com', '0678265347'),
('HS050', N'Huỳnh Văn Tá', '2005-03-27', N'Bến Tre', N'Nam', 'huynhvanta', 'HuynhVanTa@gmail.com', '0859255603'),
('HS051', N'Lê Anh Thắng', '2005-04-28', N'Quảng Nam', N'Nam', 'leanhthang', 'LeAnhThang@gmail.com', '0051489420'),
('HS052', N'Nông Thị Trang', '2005-02-14', N'Quảng Trị', N'Nữ', 'nongthitrang', 'NongThiTrang@gmail.com', '0506213717'),
('HS053', N'Dương Ngọc Minh', '2005-03-04', N'Bắc Giang', N'Nam', 'duongngocminh', 'DuongNgocMinh@gmail.com', '0732540465'),
('HS054', N'Dương Văn Tuyên', '2005-01-31', N'Nghệ An', N'Nam', 'duongvantuyen', 'DuongVanTuyen@gmail.com', '0947019380'),
('HS055', N'Hoàng Anh Quý', '2005-04-09', N'Hưng Yên', N'Nam', 'hoanganhquy', 'HoangAnhQuy@gmail.com', '0928883474'),
('HS056', N'Trần Xuân Công', '2005-06-25', N'Thanh Hóa', N'Nam', 'tranxuancong', 'TranXuanCong@gmail.com', '0163653896'),
('HS057', N'Nguyễn Thị Nga', '2005-07-21', N'Gia Lai', N'Nữ', 'nguyenthinga', 'NguyenThiNga@gmail.com', '0140092457'),
('HS058', N'Nguyễn Thành Trung', '2005-07-20', N'Hà Nam', N'Nam', 'nguyenthanhtrung', 'NguyenThanhTrung@gmail.com', '0249682279'),
('HS059', N'Nguyễn Mạnh Cường', '2005-11-24', N'Hà Tĩnh', N'Nam', 'nguyenmanhcuong', 'NguyenManhCuong@gmail.com', '0885817539'),
('HS060', N'Phạm Mạnh Cường', '2005-10-11', N'Nam Định', N'Nam', 'phammanhcuong', 'PhamManhCuong@gmail.com', '0129421314'),
('HS061', N'Đỗ Quang Duy', '2004-01-24', N'Lâm Đồng', N'Nam', 'doquangduy', 'DoQuangDuy@gmail.com', '0093642512'),
('HS062', N'Lê Hữu Dũng', '2004-04-17', N'Hưng Yên', N'Nam', 'lehuudung', 'LeHuuDung@gmail.com', '0547147300'),
('HS063', N'Nguyễn Ngọc Nhi', '2004-02-19', N'Thanh Hóa', N'Nữ', 'nguyenngocnhi', 'NguyenNgocNhi@gmail.com', '0023345222'),
('HS064', N'Nguyễn Thị Huyền Trang', '2004-03-26', N'Hải Phòng', N'Nữ', 'nguyenthihuyentrang', 'NguyenThiHuyenTrang@gmail.com', '0882737817'),
('HS065', N'Trần Đào Duy Mạnh', '2004-08-05', N'Thanh Hóa', N'Nam', 'trandaoduymanh', 'TranDaoDuyManh@gmail.com', '0613229408'),
('HS066', N'Hoàng Trọng Hùng', '2004-06-30', N'Vĩnh Phúc', N'Nam', 'hoangtronghung', 'HoangTrongHung@gmail.com', '0208102128'),
('HS067', N'Vũ Thị Kim Như', '2004-04-21', N'Nam Định', N'Nữ', 'vuthikimnhu', 'VuThiKimNhu@gmail.com', '0064742073'),
('HS068', N'Đỗ Tiến Đạt', '2004-04-20', N'Thanh Hóa', N'Nam', 'dotiendat', 'DoTienDat@gmail.com', '0981022978'),
('HS069', N'Trần Văn Hưng', '2004-06-14', N'Bắc Giang', N'Nam', 'tranvanhung', 'TranVanHung@gmail.com', '0680384602'),
('HS070', N'Bùi Duy Hưng', '2004-10-01', N'Hải Phòng', N'Nam', 'buiduyhung', 'BuiDuyHung@gmail.com', '0467050875'),
('HS071', N'Trần Ngọc Huy', '2004-06-23', N'Hưng Yên', N'Nam', 'tranngochuy', 'TranNgocHuy@gmail.com', '0397124642'),
('HS072', N'Lê Thành Long', '2004-11-02', N'An Giang', N'Nam', 'lethanhlong', 'LeThanhLong@gmail.com', '0717612344'),
('HS073', N'Phạm Văn Hùng', '2004-06-28', N'Hòa Bình', N'Nam', 'phamvanhung', 'PhamVanHung@gmail.com', '0868004951'),
('HS074', N'Lê Thị Mai', '2004-07-20', N'Nghệ An', N'Nữ', 'lethimai', 'LeThiMai@gmail.com', '0592024768'),
('HS075', N'Bùi Đăng Việt', '2004-07-19', N'Hưng Yên', N'Nam', 'buidangviet', 'BuiDangViet@gmail.com', '0145574298'),
